time,win,loss,prim_tent,prim_gale,seg_gale,white,black,red
2022-09-03 12:00:14.475432,1,0,0,1,0,1,1,0
2022-09-03 12:03:15.778110,1,0,1,0,0,1,1,0
2022-09-03 12:06:55.213323,1,0,1,0,0,0,0,1
2022-09-03 12:08:14.817272,1,0,0,1,0,0,1,0
2022-09-03 12:09:44.963109,1,0,1,0,0,0,1,0
2022-09-03 12:10:45.086570,1,0,1,0,0,0,0,1
2022-09-03 12:12:44.968769,1,0,1,0,0,0,1,0
2022-09-03 12:17:15.343512,0,1,0,0,0,0,0,0
2022-09-03 12:18:15.360765,1,0,1,0,0,0,1,0
2022-09-03 12:20:18.218167,0,1,0,0,0,0,0,0
2022-09-03 12:21:15.474199,1,0,1,0,0,0,0,1
2022-09-03 12:22:15.571275,1,0,1,0,0,1,1,0
2022-09-03 12:24:45.612878,1,0,0,0,1,0,1,0
2022-09-03 12:26:45.570124,1,0,0,0,1,0,0,1
2022-09-03 12:29:45.760402,1,0,0,1,0,0,0,1
2022-09-03 12:31:16.034523,1,0,0,1,0,0,1,0
2022-09-03 12:32:45.864047,1,0,1,0,0,0,1,0
2022-09-03 12:33:45.995135,1,0,1,0,0,0,0,1
2022-09-03 12:34:46.126424,1,0,1,0,0,0,1,0
2022-09-03 12:36:46.208487,1,0,1,0,0,1,1,0
2022-09-03 12:38:16.282767,1,0,1,0,0,0,0,1
2022-09-03 12:39:21.715872,1,0,1,0,0,0,1,0
2022-09-03 12:43:27.710297,1,0,0,1,0,0,1,0
2022-09-03 12:46:42.700373,1,0,0,0,1,0,0,1
2022-09-03 12:48:12.885727,1,0,1,0,0,0,1,0
2022-09-03 12:49:42.985593,1,0,1,0,0,0,1,0
2022-09-03 12:55:15.358997,1,0,0,1,0,0,1,0
2022-09-03 12:56:46.411316,1,0,1,0,0,0,1,0
2022-09-03 12:58:32.470807,1,0,0,1,0,1,1,0
2022-09-03 13:00:17.730488,1,0,1,0,0,0,0,1
2022-09-03 13:02:47.817165,1,0,1,0,0,0,0,1
2022-09-03 13:04:18.044549,1,0,0,1,0,0,1,0
2022-09-03 13:05:48.036751,1,0,1,0,0,0,1,0
2022-09-03 13:08:48.040515,1,0,0,1,0,0,1,0
2022-09-03 13:11:18.265388,0,1,0,0,0,0,0,0
2022-09-03 13:12:48.352560,1,0,1,0,0,0,0,1
2022-09-03 13:13:48.297212,1,0,1,0,0,0,1,0
2022-09-03 13:15:48.314558,1,0,1,0,0,1,1,0
2022-09-03 13:16:48.350238,1,0,1,0,0,0,0,1
2022-09-03 13:17:48.437405,1,0,1,0,0,0,1,0
2022-09-03 13:19:48.631505,1,0,1,0,0,0,0,1
2022-09-03 13:21:48.629053,1,0,0,1,0,0,0,1
2022-09-03 13:23:48.776814,1,0,1,0,0,0,1,0
2022-09-03 13:25:30.061900,1,0,0,1,0,0,0,1
2022-09-03 13:26:18.948325,1,0,1,0,0,0,1,0
2022-09-03 13:27:49.052692,1,0,0,1,0,0,0,1
2022-09-03 13:29:19.221101,1,0,1,0,0,0,0,1
2022-09-03 13:30:18.955209,1,0,1,0,0,0,1,0
2022-09-03 13:40:19.759587,1,0,1,0,0,1,1,0
2022-09-03 13:42:53.682487,1,0,0,1,0,0,0,1
2022-09-03 13:44:19.946593,1,0,1,0,0,0,0,1
2022-09-03 13:45:49.850238,1,0,0,1,0,1,1,0
2022-09-03 13:47:19.958613,1,0,1,0,0,0,1,0
2022-09-03 13:48:20.030092,1,0,1,0,0,1,1,0
2022-09-03 13:49:50.078653,1,0,1,0,0,0,1,0
2022-09-03 13:51:50.161569,1,0,1,0,0,1,1,0
2022-09-03 13:53:20.182428,1,0,1,0,0,0,1,0
2022-09-03 13:56:20.279360,1,0,0,1,0,0,1,0
2022-09-03 13:57:50.410639,1,0,0,1,0,0,0,1
2022-09-03 14:00:20.774223,1,0,1,0,0,0,0,1
2022-09-03 14:03:20.661556,1,0,1,0,0,0,0,1
2022-09-03 14:05:20.902290,0,1,0,0,0,0,0,0
2022-09-03 14:07:51.088960,1,0,0,0,1,1,1,0
2022-09-03 14:09:51.653963,1,0,1,0,0,0,1,0
2022-09-03 14:12:28.875431,1,0,0,0,1,0,1,0
2022-09-03 14:27:53.793979,1,0,0,1,0,0,0,1
2022-09-03 14:29:21.926038,1,0,0,1,0,0,0,1
2022-09-03 14:30:21.916291,1,0,1,0,0,0,1,0
2022-09-03 14:33:52.159071,1,0,0,1,0,0,0,1
2022-09-03 14:35:52.426433,1,0,1,0,0,0,1,0
2022-09-03 14:38:52.783083,1,0,1,0,0,0,0,1
2022-09-03 14:39:52.485949,1,0,1,0,0,0,1,0
2022-09-03 14:41:52.431948,1,0,1,0,0,0,0,1
2022-09-03 14:45:52.822103,1,0,1,0,0,0,1,0
2022-09-03 14:49:52.772186,0,1,0,0,0,0,0,0
2022-09-03 14:50:53.045278,1,0,1,0,0,0,0,1
2022-09-03 14:52:22.927057,1,0,1,0,0,1,1,0
2022-09-03 14:55:25.474889,1,0,1,0,0,0,1,0
2022-09-03 14:57:23.133833,1,0,0,1,0,1,1,0
2022-09-03 14:58:53.963213,1,0,1,0,0,0,1,0
2022-09-03 15:01:53.436246,1,0,1,0,0,0,0,1
2022-09-03 15:57:55.953004,1,0,1,0,0,0,0,1
2022-09-03 16:00:56.240683,0,1,0,0,0,0,0,0
2022-09-03 16:01:56.304328,1,0,1,0,0,0,1,0
